,county,FIPS,killed_victims,year_option
935,del norte,06015,6.0,2016
936,el dorado,06017,19.0,2016
937,fresno,06019,148.0,2016
938,glenn,06021,11.0,2016
939,humboldt,06023,23.0,2016
940,imperial,06025,32.0,2016
941,inyo,06027,6.0,2016
942,kern,06029,145.0,2016
943,kings,06031,30.0,2016
944,lake,06033,14.0,2016
945,lassen,06035,10.0,2016
946,los angeles,06037,838.0,2016
947,madera,06039,39.0,2016
948,marin,06041,12.0,2016
949,mariposa,06043,5.0,2016
950,mendocino,06045,24.0,2016
951,merced,06047,66.0,2016
952,modoc,06049,1.0,2016
953,mono,06051,1.0,2016
954,monterey,06053,54.0,2016
955,napa,06055,12.0,2016
956,nevada,06057,13.0,2016
957,orange,06059,202.0,2016
958,placer,06061,41.0,2016
959,plumas,06063,9.0,2016
960,riverside,06065,289.0,2016
961,sacramento,06067,166.0,2016
962,san benito,06069,11.0,2016
963,san bernardino,06071,265.0,2016
964,san diego,06073,241.0,2016
965,san francisco,06075,37.0,2016
966,san joaquin,06077,117.0,2016
967,san luis obispo,06079,31.0,2016
968,san mateo,06081,48.0,2016
969,santa barbara,06083,33.0,2016
970,santa clara,06085,112.0,2016
971,santa cruz,06087,21.0,2016
972,shasta,06089,24.0,2016
973,sierra,06091,0.0,2016
974,siskiyou,06093,10.0,2016
975,solano,06095,39.0,2016
976,sonoma,06097,46.0,2016
977,stanislaus,06099,80.0,2016
978,sutter,06101,7.0,2016
979,tehama,06103,15.0,2016
980,trinity,06105,7.0,2016
981,tulare,06107,77.0,2016
982,tuolumne,06109,11.0,2016
983,ventura,06111,57.0,2016
984,yolo,06113,36.0,2016
985,yuba,06115,12.0,2016
986,alameda,06001,99.0,2017
987,alpine,06003,4.0,2017
988,amador,06005,12.0,2017
989,butte,06007,38.0,2017
990,calaveras,06009,18.0,2017
991,colusa,06011,11.0,2017
992,contra costa,06013,66.0,2017
993,del norte,06015,5.0,2017
994,el dorado,06017,27.0,2017
995,fresno,06019,151.0,2017
996,glenn,06021,9.0,2017
997,humboldt,06023,40.0,2017
998,imperial,06025,24.0,2017
999,inyo,06027,10.0,2017
1000,kern,06029,181.0,2017
1001,kings,06031,26.0,2017
1002,lake,06033,17.0,2017
1003,lassen,06035,8.0,2017
1004,los angeles,06037,751.0,2017
1005,madera,06039,22.0,2017
1006,marin,06041,14.0,2017
1007,mariposa,06043,7.0,2017
1008,mendocino,06045,28.0,2017
1009,merced,06047,71.0,2017
1010,modoc,06049,0.0,2017
1011,mono,06051,5.0,2017
1012,monterey,06053,56.0,2017
1013,napa,06055,16.0,2017
1014,nevada,06057,16.0,2017
1015,orange,06059,212.0,2017
1016,placer,06061,30.0,2017
1017,plumas,06063,5.0,2017
1018,riverside,06065,300.0,2017
1019,sacramento,06067,167.0,2017
1020,san benito,06069,8.0,2017
1021,san bernardino,06071,340.0,2017
1022,san diego,06073,236.0,2017
1023,san francisco,06075,25.0,2017
1024,san joaquin,06077,118.0,2017
1025,san luis obispo,06079,32.0,2017
1026,san mateo,06081,30.0,2017
1027,santa barbara,06083,41.0,2017
1028,santa clara,06085,114.0,2017
1029,santa cruz,06087,18.0,2017
1030,shasta,06089,29.0,2017
1031,sierra,06091,3.0,2017
1032,siskiyou,06093,15.0,2017
1033,solano,06095,29.0,2017
1034,sonoma,06097,42.0,2017
1035,stanislaus,06099,76.0,2017
1036,sutter,06101,23.0,2017
1037,tehama,06103,10.0,2017
1038,trinity,06105,3.0,2017
1039,tulare,06107,85.0,2017
1040,tuolumne,06109,14.0,2017
1041,ventura,06111,55.0,2017
1042,yolo,06113,20.0,2017
1043,yuba,06115,11.0,2017
1044,alameda,06001,83.0,2018
1045,alpine,06003,2.0,2018
1046,amador,06005,11.0,2018
1047,butte,06007,36.0,2018
1048,calaveras,06009,12.0,2018
1049,colusa,06011,12.0,2018
1050,contra costa,06013,79.0,2018
1051,del norte,06015,10.0,2018
1052,el dorado,06017,32.0,2018
1053,fresno,06019,119.0,2018
1054,glenn,06021,9.0,2018
1055,humboldt,06023,20.0,2018
1056,imperial,06025,37.0,2018
1057,inyo,06027,0.0,2018
1058,kern,06029,144.0,2018
1059,kings,06031,21.0,2018
1060,lake,06033,11.0,2018
1061,lassen,06035,12.0,2018
1062,los angeles,06037,736.0,2018
1063,madera,06039,34.0,2018
1064,marin,06041,16.0,2018
1065,mariposa,06043,3.0,2018
1066,mendocino,06045,35.0,2018
1067,merced,06047,52.0,2018
1068,modoc,06049,2.0,2018
1069,mono,06051,10.0,2018
1070,monterey,06053,45.0,2018
1071,napa,06055,14.0,2018
1072,nevada,06057,17.0,2018
1073,orange,06059,201.0,2018
1074,placer,06061,27.0,2018
1075,plumas,06063,5.0,2018
1076,riverside,06065,315.0,2018
1077,sacramento,06067,139.0,2018
1078,san benito,06069,12.0,2018
1079,san bernardino,06071,318.0,2018
1080,san diego,06073,263.0,2018
1081,san francisco,06075,28.0,2018
1082,san joaquin,06077,111.0,2018
1083,san luis obispo,06079,39.0,2018
1084,san mateo,06081,28.0,2018
1085,santa barbara,06083,35.0,2018
1086,santa clara,06085,119.0,2018
1087,santa cruz,06087,21.0,2018
1088,shasta,06089,30.0,2018
1089,sierra,06091,1.0,2018
1090,siskiyou,06093,15.0,2018
1091,solano,06095,54.0,2018
1092,sonoma,06097,41.0,2018
1093,stanislaus,06099,85.0,2018
1094,sutter,06101,24.0,2018
1095,tehama,06103,21.0,2018
1096,trinity,06105,6.0,2018
1097,tulare,06107,70.0,2018
1098,tuolumne,06109,8.0,2018
1099,ventura,06111,54.0,2018
1100,yolo,06113,30.0,2018
1101,yuba,06115,20.0,2018
1102,alameda,06001,94.0,2019
1103,alpine,06003,2.0,2019
1104,amador,06005,15.0,2019
1105,butte,06007,33.0,2019
1106,calaveras,06009,11.0,2019
1107,colusa,06011,12.0,2019
1108,contra costa,06013,77.0,2019
1109,del norte,06015,11.0,2019
1110,el dorado,06017,28.0,2019
1111,fresno,06019,130.0,2019
1112,glenn,06021,7.0,2019
1113,humboldt,06023,22.0,2019
1114,imperial,06025,30.0,2019
1115,inyo,06027,12.0,2019
1116,kern,06029,150.0,2019
1117,kings,06031,16.0,2019
1118,lake,06033,15.0,2019
1119,lassen,06035,6.0,2019
1120,los angeles,06037,723.0,2019
1121,madera,06039,36.0,2019
1122,marin,06041,19.0,2019
1123,mariposa,06043,4.0,2019
1124,mendocino,06045,20.0,2019
1125,merced,06047,50.0,2019
1126,modoc,06049,6.0,2019
1127,mono,06051,5.0,2019
1128,monterey,06053,33.0,2019
1129,napa,06055,18.0,2019
1130,nevada,06057,8.0,2019
1131,orange,06059,179.0,2019
1132,placer,06061,22.0,2019
1133,plumas,06063,3.0,2019
1134,riverside,06065,284.0,2019
1135,sacramento,06067,176.0,2019
1136,san benito,06069,11.0,2019
1137,san bernardino,06071,321.0,2019
1138,san diego,06073,250.0,2019
1139,san francisco,06075,38.0,2019
1140,san joaquin,06077,120.0,2019
1141,san luis obispo,06079,34.0,2019
1142,san mateo,06081,27.0,2019
1143,santa barbara,06083,37.0,2019
1144,santa clara,06085,128.0,2019
1145,santa cruz,06087,19.0,2019
1146,shasta,06089,34.0,2019
1147,sierra,06091,3.0,2019
1148,siskiyou,06093,10.0,2019
1149,solano,06095,45.0,2019
1150,sonoma,06097,35.0,2019
1151,stanislaus,06099,69.0,2019
1152,sutter,06101,28.0,2019
1153,tehama,06103,19.0,2019
1154,trinity,06105,7.0,2019
1155,tulare,06107,69.0,2019
1156,tuolumne,06109,11.0,2019
1157,ventura,06111,47.0,2019
1158,yolo,06113,28.0,2019
1159,yuba,06115,13.0,2019
1160,alameda,06001,79.0,2020
1161,alpine,06003,0.0,2020
1162,amador,06005,17.0,2020
1163,butte,06007,38.0,2020
1164,calaveras,06009,9.0,2020
1165,colusa,06011,6.0,2020
1166,contra costa,06013,99.0,2020
1167,del norte,06015,4.0,2020
1168,el dorado,06017,15.0,2020
1169,fresno,06019,163.0,2020
1170,glenn,06021,4.0,2020
1171,humboldt,06023,19.0,2020
1172,imperial,06025,28.0,2020
1173,inyo,06027,12.0,2020
1174,kern,06029,197.0,2020
1175,kings,06031,25.0,2020
1176,lake,06033,16.0,2020
1177,lassen,06035,9.0,2020
1178,los angeles,06037,693.0,2020
1179,madera,06039,28.0,2020
1180,marin,06041,9.0,2020
1181,mariposa,06043,1.0,2020
1182,mendocino,06045,20.0,2020
1183,merced,06047,44.0,2020
1184,modoc,06049,7.0,2020
1185,mono,06051,4.0,2020
1186,monterey,06053,48.0,2020
1187,napa,06055,18.0,2020
1188,nevada,06057,11.0,2020
1189,orange,06059,155.0,2020
1190,placer,06061,34.0,2020
1191,plumas,06063,3.0,2020
1192,riverside,06065,289.0,2020
1193,sacramento,06067,148.0,2020
1194,san benito,06069,11.0,2020
1195,san bernardino,06071,340.0,2020
1196,san diego,06073,286.0,2020
1197,san francisco,06075,33.0,2020
1198,san joaquin,06077,115.0,2020
1199,san luis obispo,06079,22.0,2020
1200,san mateo,06081,38.0,2020
1201,santa barbara,06083,25.0,2020
1202,santa clara,06085,86.0,2020
1203,santa cruz,06087,18.0,2020
1204,shasta,06089,37.0,2020
1205,sierra,06091,2.0,2020
1206,siskiyou,06093,5.0,2020
1207,solano,06095,33.0,2020
1208,sonoma,06097,31.0,2020
1209,stanislaus,06099,72.0,2020
1210,sutter,06101,16.0,2020
1211,tehama,06103,18.0,2020
1212,trinity,06105,5.0,2020
1213,tulare,06107,82.0,2020
1214,tuolumne,06109,5.0,2020
1215,ventura,06111,59.0,2020
1216,yolo,06113,26.0,2020
1217,yuba,06115,12.0,2020
1218,alameda,06001,9.0,2021
1219,alpine,06003,0.0,2021
1220,amador,06005,1.0,2021
1221,butte,06007,18.0,2021
1222,calaveras,06009,3.0,2021
1223,colusa,06011,1.0,2021
1224,contra costa,06013,14.0,2021
1225,del norte,06015,2.0,2021
1226,el dorado,06017,6.0,2021
1227,fresno,06019,21.0,2021
1228,glenn,06021,0.0,2021
1229,humboldt,06023,4.0,2021
1230,imperial,06025,11.0,2021
1231,inyo,06027,0.0,2021
1232,kern,06029,36.0,2021
1233,kings,06031,3.0,2021
1234,lake,06033,3.0,2021
1235,lassen,06035,1.0,2021
1236,los angeles,06037,136.0,2021
1237,madera,06039,0.0,2021
1238,marin,06041,1.0,2021
1239,mariposa,06043,0.0,2021
1240,mendocino,06045,3.0,2021
1241,merced,06047,10.0,2021
1242,modoc,06049,0.0,2021
1243,mono,06051,0.0,2021
1244,monterey,06053,6.0,2021
1245,napa,06055,4.0,2021
1246,nevada,06057,4.0,2021
1247,orange,06059,23.0,2021
1248,placer,06061,4.0,2021
1249,plumas,06063,2.0,2021
1250,riverside,06065,38.0,2021
1251,sacramento,06067,33.0,2021
1252,san benito,06069,2.0,2021
1253,san bernardino,06071,68.0,2021
1254,san diego,06073,50.0,2021
1255,san francisco,06075,2.0,2021
1256,san joaquin,06077,27.0,2021
1257,san luis obispo,06079,4.0,2021
1258,san mateo,06081,8.0,2021
1259,santa barbara,06083,7.0,2021
1260,santa clara,06085,8.0,2021
1261,santa cruz,06087,8.0,2021
1262,shasta,06089,7.0,2021
1263,sierra,06091,0.0,2021
1264,siskiyou,06093,6.0,2021
1265,solano,06095,1.0,2021
1266,sonoma,06097,9.0,2021
1267,stanislaus,06099,15.0,2021
1268,sutter,06101,4.0,2021
1269,tehama,06103,1.0,2021
1270,trinity,06105,1.0,2021
1271,tulare,06107,12.0,2021
1272,tuolumne,06109,1.0,2021
1273,ventura,06111,4.0,2021
1274,yolo,06113,8.0,2021
1275,yuba,06115,11.0,2021
