,collision_hour,killed_victims,year_option
253,13,103.0,2010
254,14,108.0,2010
255,15,106.0,2010
256,16,120.0,2010
257,17,179.0,2010
258,18,156.0,2010
259,19,174.0,2010
260,20,147.0,2010
261,21,150.0,2010
262,22,99.0,2010
263,23,122.0,2010
264,0,105.0,2011
265,1,147.0,2011
266,2,151.0,2011
267,3,96.0,2011
268,4,68.0,2011
269,5,92.0,2011
270,6,88.0,2011
271,7,80.0,2011
272,8,74.0,2011
273,9,86.0,2011
274,10,84.0,2011
275,11,121.0,2011
276,12,111.0,2011
277,13,90.0,2011
278,14,144.0,2011
279,15,124.0,2011
280,16,126.0,2011
281,17,162.0,2011
282,18,163.0,2011
283,19,136.0,2011
284,20,137.0,2011
285,21,152.0,2011
286,22,131.0,2011
287,23,118.0,2011
288,0,128.0,2012
289,1,134.0,2012
290,2,125.0,2012
291,3,92.0,2012
292,4,59.0,2012
293,5,96.0,2012
294,6,105.0,2012
295,7,111.0,2012
296,8,99.0,2012
297,9,84.0,2012
298,10,81.0,2012
299,11,111.0,2012
300,12,112.0,2012
301,13,82.0,2012
302,14,136.0,2012
303,15,140.0,2012
304,16,118.0,2012
305,17,175.0,2012
306,18,188.0,2012
307,19,174.0,2012
308,20,177.0,2012
309,21,154.0,2012
310,22,130.0,2012
311,23,132.0,2012
312,0,124.0,2013
313,1,132.0,2013
314,2,139.0,2013
315,3,95.0,2013
316,4,86.0,2013
317,5,111.0,2013
318,6,102.0,2013
319,7,84.0,2013
320,8,107.0,2013
321,9,82.0,2013
322,10,99.0,2013
323,11,108.0,2013
324,12,103.0,2013
325,13,144.0,2013
326,14,104.0,2013
327,15,139.0,2013
328,16,141.0,2013
329,17,180.0,2013
330,18,184.0,2013
331,19,159.0,2013
332,20,181.0,2013
333,21,182.0,2013
334,22,155.0,2013
335,23,112.0,2013
336,0,151.0,2014
337,1,121.0,2014
338,2,153.0,2014
339,3,85.0,2014
340,4,88.0,2014
341,5,116.0,2014
342,6,116.0,2014
343,7,96.0,2014
344,8,70.0,2014
345,9,81.0,2014
346,10,78.0,2014
347,11,93.0,2014
348,12,113.0,2014
349,13,105.0,2014
350,14,125.0,2014
351,15,124.0,2014
352,16,138.0,2014
353,17,203.0,2014
354,18,195.0,2014
355,19,187.0,2014
356,20,164.0,2014
357,21,164.0,2014
358,22,167.0,2014
359,23,131.0,2014
360,0,153.0,2015
361,1,134.0,2015
362,2,158.0,2015
363,3,105.0,2015
364,4,103.0,2015
365,5,129.0,2015
366,6,150.0,2015
367,7,97.0,2015
368,8,83.0,2015
369,9,78.0,2015
370,10,106.0,2015
371,11,78.0,2015
372,12,116.0,2015
373,13,136.0,2015
374,14,149.0,2015
375,15,138.0,2015
376,16,136.0,2015
377,17,169.0,2015
378,18,226.0,2015
379,19,182.0,2015
380,20,218.0,2015
381,21,204.0,2015
382,22,189.0,2015
383,23,138.0,2015
384,0,189.0,2016
385,1,186.0,2016
386,2,175.0,2016
387,3,130.0,2016
388,4,114.0,2016
389,5,157.0,2016
390,6,139.0,2016
391,7,110.0,2016
392,8,92.0,2016
393,9,102.0,2016
394,10,98.0,2016
395,11,113.0,2016
396,12,122.0,2016
397,13,130.0,2016
398,14,138.0,2016
399,15,142.0,2016
400,16,204.0,2016
401,17,198.0,2016
402,18,234.0,2016
403,19,209.0,2016
404,20,232.0,2016
405,21,218.0,2016
406,22,174.0,2016
407,23,178.0,2016
408,0,150.0,2017
409,1,155.0,2017
410,2,160.0,2017
411,3,130.0,2017
412,4,138.0,2017
413,5,154.0,2017
414,6,125.0,2017
415,7,99.0,2017
416,8,86.0,2017
417,9,104.0,2017
418,10,129.0,2017
419,11,117.0,2017
420,12,128.0,2017
421,13,116.0,2017
422,14,151.0,2017
423,15,157.0,2017
424,16,166.0,2017
425,17,225.0,2017
426,18,253.0,2017
427,19,203.0,2017
428,20,248.0,2017
429,21,233.0,2017
430,22,207.0,2017
431,23,189.0,2017
432,0,156.0,2018
433,1,180.0,2018
434,2,155.0,2018
435,3,99.0,2018
436,4,103.0,2018
437,5,159.0,2018
438,6,150.0,2018
439,7,94.0,2018
440,8,74.0,2018
441,9,92.0,2018
442,10,109.0,2018
443,11,138.0,2018
444,12,130.0,2018
445,13,126.0,2018
446,14,128.0,2018
447,15,154.0,2018
448,16,158.0,2018
449,17,211.0,2018
450,18,215.0,2018
451,19,246.0,2018
452,20,240.0,2018
453,21,223.0,2018
454,22,190.0,2018
455,23,204.0,2018
456,0,162.0,2019
457,1,160.0,2019
458,2,134.0,2019
459,3,114.0,2019
460,4,121.0,2019
461,5,169.0,2019
462,6,152.0,2019
463,7,119.0,2019
464,8,94.0,2019
465,9,79.0,2019
466,10,92.0,2019
467,11,127.0,2019
468,12,139.0,2019
469,13,122.0,2019
470,14,130.0,2019
471,15,137.0,2019
472,16,137.0,2019
473,17,183.0,2019
474,18,221.0,2019
475,19,208.0,2019
476,20,220.0,2019
477,21,240.0,2019
478,22,207.0,2019
479,23,193.0,2019
480,0,164.0,2020
481,1,161.0,2020
482,2,133.0,2020
483,3,120.0,2020
484,4,119.0,2020
485,5,138.0,2020
486,6,128.0,2020
487,7,91.0,2020
488,8,68.0,2020
489,9,91.0,2020
490,10,106.0,2020
491,11,79.0,2020
492,12,103.0,2020
